eigenvector
('C000589760', 1.6750693776371957e-05)
('C508600', 0.003609132959637904)
('C533410', 1.9846542479854645e-18)
('C495901', -4.3765220332990366e-18)
('C583074', 7.436578044571992e-20)
('C006780', -1.108313262216873e-17)
('C000611646', -2.9977513490647575e-17)
('C025314', -6.868076159475971e-19)
('C000499', 1.285380645947798e-18)
('C586847', -3.3901240125873785e-18)
('C086119', -3.1093049731699558e-18)
('C000607349', -6.99813209300588e-18)
('C038106', -2.1343276769674564e-18)
('C494086', -2.3587063277934443e-18)
('C000600034', -1.1016707825143525e-18)
('C506487', 1.0980472820626183e-18)
('C583355', -1.1082979371791455e-18)
('C587672', 5.990905447692663e-20)
('C558298', -6.401378219632546e-19)
('C054369', 1.340357021998419e-18)
('C512790', -2.5713224684994314e-18)
('C551750', 3.4257475455121094e-18)
('C512299', -7.311590377478481e-19)
('C492716', 2.914982294867203e-18)
('C438843', -3.2895548192666755e-18)
('C028541', 1.7014995226284084e-18)
('C078519', 1.1280985015006608e-19)
('C412563', -1.0145491352253772e-18)
('C036216', -1.4982253706925916e-18)
('C021773', 2.6714160063228887e-18)
('C053562', -2.5146553723030246e-18)
('C009250', 2.2129560091428582e-18)
('C031463', -2.5765269836052036e-18)
('C525718', 1.8103295238148573e-18)
('C571216', 0.5825671130337057)
('C508717', 0.38049587611556324)
('C539900', 0.006578730171518319)
('C501163', 4.948884381773222e-14)
('C467480', 2.8622811358805416e-12)
('C080694', -1.60084050361544e-18)
('C495635', 9.419297201130878e-19)
('C577155', 5.899740786115666e-19)
('C472125', 1.3926146619400847e-18)
('C506031', 1.7303935890561548e-18)
('C505689', 1.285000505244494e-18)
('C534132', 1.0945386401527997e-18)
('C505687', -5.411382202189293e-19)
('C486610', 1.8670480619074718e-18)
('C495637', -1.585666804613861e-18)
('C538784', 2.5001680972325895e-18)
('C543588', 7.289820270575112e-19)
('C019417', -2.459342734572332e-19)
('C000601279', -7.023868865955826e-19)
('C416402', 1.3896805803479373e-18)
('C523798', 1.9683342463747142e-18)
('C107489', -1.8879697896655553e-18)
